stage                model                                     calls        $  avg_out  pass parse trunc  err
adaptive-claude-fable-5 anthropic/claude-fable-5                     43    20.60     9239    36     2     0    0
adaptive-claude-haiku-4.5 anthropic/claude-haiku-4.5                   20     1.03     8319     8     0     0    0
adaptive-deepseek-r1-0528 deepseek/deepseek-r1-0528                    11     0.37    11966     8     0     0    0
adaptive-gpt-5.5     openai/gpt-5.5                               20     5.70     8437    19     0     0    0
adaptive-gpt-5.5-ext openai/gpt-5.5                               28     8.82     9288    27     0     0    0
adaptive-gpt-oss-120b openai/gpt-oss-120b                          68     0.17    20337     6     0     3   58
adaptive-gpt-oss-20b openai/gpt-oss-20b                           84     0.36    19243    43     0    25    0
adaptive-minimax-m2.5 minimax/minimax-m2.5                        108     4.09    28411    50     0    56    0
adaptive-o4-mini     openai/o4-mini                               84     4.62    11157    40     1     0    0
dag-ext-fast         anthropic/claude-haiku-4.5                  100     3.68     5719    99     0     0    0
dag-ext-fast         openai/o4-mini                              100     1.97     3774    88     5     0    0
dag-fast             anthropic/claude-haiku-4.5                  240     1.78     1174   240     0     0    0
dag-fast             openai/o4-mini                              240     0.78      619   240     0     0    0
dag-xxl-haiku        anthropic/claude-haiku-4.5                   64     4.45     9861    17     0    29    0
duel-n50             anthropic/claude-fable-5                     20    25.30    24658     5     0    12    0
duel-n50             openai/gpt-5.5                                7     2.71    13351     5     0     0    1
duel-n50-rematch     or/claude-fable-5                            14    33.82    43476     6     0     6    0
duel-n50-rematch     or/gpt-5.5                                   14    11.93    22690     8     0     0    0
duel-top             anthropic/claude-fable-5                     45    23.79    10132    42     0     0    0
duel-top             openai/gpt-5.5                               29     9.01     9155    29     0     0    0
pilot-sat            anthropic/claude-haiku-4.5                   96     4.37     7270    42     0     0    0
pilot-sat            deepseek/deepseek-r1-0528                     8     0.29    13046     6     0     0    0
pilot-sat            minimax/minimax-m2.5                          9     0.31    25538     9     0     0    0
pilot-sat            openai/gpt-oss-120b                          36     0.13    12932    23     0     0    0
pilot-sat            openai/gpt-oss-20b                           26     0.08    19481    14     0     0    0
pilot-sat            openai/o4-mini                               42     2.51    12107    19     0     0    0
pilot-sat            qwen/qwen3-235b-a22b-thinking-2507           29     1.88    19521    18     0     0    0
pilot-sat            z-ai/glm-5                                   14     0.89    18473     9     0     0    0
primary-a            openai/gpt-oss-120b                          89     0.84    17380    36     0    12   32
primary-a            openai/gpt-oss-20b                          601     3.46    25955   397     1     1    0
primary-a-topup      openai/gpt-oss-120b                          75     0.23    20978     6     0     4   62
primary-a-topup      openai/gpt-oss-20b                          228     2.01    39846    96     3     0    0
primary-haiku        anthropic/claude-haiku-4.5                  540    25.29     7491   218     1     3    0
primary-haiku-topup  anthropic/claude-haiku-4.5                  444    20.59     7443   242     0     3    0
primary-minimax      minimax/minimax-m2.5                         79     3.36    32282    67     1     0    1
primary-o4           openai/o4-mini                              300    17.12    11579   104     4     0    0
primary-o4-topup     openai/o4-mini                              300    16.74    11317   156     3     0    0
primary-r1           deepseek/deepseek-r1-0528                   138     5.23    13708    72     3     0    2
retest-fast          anthropic/claude-haiku-4.5                  336    16.14     7695   161     0     2    0
retest-fast          openai/o4-mini                              291    17.11    11932   118     4     0    0
smoke                openai/gpt-oss-20b                            2     0.01    16066     1     0     0    0

TOTAL: $257.82 of $300.00
